AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
1,Mannadipet,,,,,,,,,,,,
2,Thirubhuvanai (Sc),,,,,,,,,,,,
3,Oussudu (Sc),,,,,,,,,,,,
4,Mangalam,,,,,,,,,,,,
5,Villianur,,,,,,,,,,,,
6,Ozhukarai,,,,,,,,,,,,
7,Kadirgamam,,,,,,,,,,,,
8,Indira Nagar,,,,,,,,,,,,
9,Thattanchavady,,,,,,,,,,,,
10,Kamraj Nagar,,,,,,,,,,,,
11,Lawspet,,,,,,,,,,,,
12,Kalapet,,,,,,,,,,,,
13,Muthialpet,,,,,,,,,,,,
14,Raj Bhavan,,,,,,,,,,,,
15,Oupalam,,,,,,,,,,,,
16,Orleampeth,,,,,,,,,,,,
17,Nellithope,,,,,,,,,,,,
18,Mudaliarpet,,,,,,,,,,,,
19,Ariankuppam,,,,,,,,,,,,
20,Manavely,,,,,,,,,,,,
21,Embalam (Sc),,,,,,,,,,,,
22,Nettapakkam (Sc),,,,,,,,,,,,
23,Bahour,,,,,,,,,,,,
24,Nedungadu (Sc),,,,,,,,,,,,
25,Thirunallar,,,,,,,,,,,,
26,Karaikal North,,,,,,,,,,,,
27,Karaikal South,,,,,,,,,,,,
28,Neravy- T.R. Pattin,,,,,,,,,,,,
29,Mahe,,,,,,,,,,,,
30,Yanam,,,,,,,,,,,,
